counties,High,Median,Low,AMI,ALI,ELI,VLI,LI,MOD,PPH,total_enrolled,GDP,PI,POP,PCI,LABOUR FORCE,EMPLOYED,UNEMPLOYED,UNEMPLOYMENT RATE
San Francisco,583500.0,396400.0,295300.0,175000,604650.0,1379693.75,2006775.0,3197331.25,4838306.25,2,56501,135.239,125970097,808437,155819,572583,557983,14600,2.5
San Joaquin,195600.0,142400.0,103200.0,100300,620075.0,1412913.75,2051743.75,3269206.25,4961668.75,3,152956,111.95,42979635,793229,54183,344418,326351,18067,5.2
San Luis Obispo,320800.0,230000.0,169800.0,113100,637437.5,1449423.75,2111112.5,3364193.75,5100756.25,2,32615,105.85,19162980,282013,67951,137203,133048,4155,3.0
San Mateo,705700.0,469200.0,347500.0,175000,664350.0,1506742.5,2206668.75,3517043.75,5316006.25,3,84836,130.87,127657596,729181,175070,453379,442415,10964,2.4
Santa Barbara,481000.0,293000.0,157600.0,107300,680856.25,1552211.25,2282493.75,3638518.75,5447981.25,3,66758,113.369,33607554,443837,75720,223717,215888,7829,3.5
Santa Clara,664100.0,446400.0,332200.0,181300,708743.75,1607061.25,2373943.75,3779068.75,5670968.75,3,236428,136.461,270162197,1870945,144399,1040856,1013288,27568,2.6
Santa Cruz,503100.0,377500.0,271500.0,132800,729143.75,1657730.0,2458375.0,3914493.75,5834306.25,3,38025,117.692,22832350,264370,86365,134175,127787,6388,4.8
Shasta,160800.0,120800.0,92800.0,89800,742931.25,1690743.75,2501437.5,3983400.0,5944756.25,2,26423,99.738,9791945,180930,54120,73134,69783,3351,4.6
Sierra,166000.0,128600.0,83700.0,90000,756768.75,1724088.75,2547562.5,4057212.5,6055456.25,2,400,107.939,154021,3217,47877,1320,1265,55,4.2
Siskiyou,150200.0,100300.0,74300.0,83800,769631.25,1757015.0,2589850.0,4124843.75,6158531.25,2,5697,97.363,2261048,43660,51788,16632,15682,950,5.7
Solano,237800.0,178300.0,142500.0,112600,786950.0,1793266.25,2648506.25,4218643.75,6297006.25,3,60232,126.452,26149679,448747,58273,202274,193768,8506,4.2
Sonoma,373600.0,273200.0,209400.0,128100,806631.25,1832067.5,2713000.0,4321843.75,6454556.25,3,64375,108.716,37598558,482650,77900,248277,240509,7768,3.1
Stanislaus,161500.0,125300.0,98900.0,92600,820875.0,1865100.0,2756281.25,4391031.25,6568437.5,3,106973,105.704,28123096,551275,51015,242276,229135,13141,5.4
Sutter,152400.0,120700.0,95500.0,83800,833737.5,1898026.25,2798568.75,4458662.5,6671512.5,3,24463,119.359,5122683,98503,52005,46329,43293,3036,6.6
Tehama,143400.0,103000.0,79600.0,83800,846600.0,1930952.5,2840856.25,4526293.75,6774587.5,3,10798,102.821,3087088,65245,47315,25735,24487,1248,4.8
Trinity,154300.0,112000.0,83600.0,83800,859462.5,1963878.75,2883143.75,4593925.0,6877662.5,2,1610,89.532,573075,15781,36314,4572,4362,210,4.6
Tulare,135900.0,97800.0,79500.0,83800,872325.0,1996805.0,2925431.25,4661556.25,6980737.5,3,103289,103.852,22585661,477544,47295,207469,190526,16943,8.2
Tuolumne,200900.0,149800.0,118100.0,97700,887337.5,2030056.25,2970593.75,4733793.75,7100925.0,2,5838,90.624,2879540,54531,52806,19877,18990,887,4.5
Ventura,347500.0,248700.0,193500.0,123500,906356.25,2070925.0,3038675.0,4842706.25,7252825.0,3,126942,105.03,63589878,832605,76375,413641,398421,15220,3.7
Yolo,245200.0,169800.0,129400.0,114000,923881.25,2105731.25,3092456.25,4928725.0,7393050.0,3,29803,109.472,14277264,222115,64279,108984,104576,4408,4.0
Yuba,123600.0,89700.0,75300.0,83800,936743.75,2138657.5,3134743.75,4996356.25,7496125.0,3,15472,101.464,4064114,84310,48204,31596,29856,1740,5.5
